fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse,vol_num_leaves,vol_lr,vol_min_node,vol_rounds,vol_inner_rmse
1,7,0.02,20,104,0.7365,7,0.02,10,115,2.5637
2,7,0.05,50,48,0.7475,7,0.05,100,104,2.5033
3,7,0.05,20,95,0.6648,15,0.05,10,51,2.3128
4,7,0.05,100,63,0.7646,7,0.05,100,77,2.6701
5,7,0.02,10,85,0.6924,7,0.05,100,120,2.3651
6,7,0.05,20,43,0.6941,7,0.05,100,120,2.3474
7,7,0.05,50,41,0.6546,15,0.05,20,51,2.5142
8,7,0.05,10,50,0.6578,7,0.02,100,147,2.8403
9,7,0.05,20,75,0.7355,7,0.05,10,51,2.7826
10,7,0.05,100,51,0.7488,7,0.02,50,124,2.845
11,7,0.05,100,51,0.7133,7,0.05,20,44,2.7308
12,15,0.05,100,52,0.6971,7,0.02,20,108,2.719
13,7,0.02,100,152,0.6955,7,0.02,50,102,2.6796
14,15,0.05,100,74,0.7388,31,0.02,50,125,2.8547
15,15,0.05,100,73,0.7306,31,0.05,50,49,2.9921
16,7,0.05,10,62,0.7311,15,0.05,50,85,3.0442
17,7,0.02,10,159,0.7146,7,0.05,50,74,3.0056
18,7,0.02,10,135,0.717,7,0.05,50,105,2.9043
19,31,0.05,20,51,0.6974,7,0.02,50,195,2.7517
20,15,0.05,10,53,0.6846,31,0.05,50,47,2.6331
21,7,0.02,10,134,0.6801,7,0.05,50,58,2.6058
22,7,0.02,50,137,0.6849,7,0.02,50,150,2.6918
23,7,0.05,10,58,0.6585,15,0.02,100,195,2.7476
24,15,0.05,20,48,0.6528,7,0.05,100,83,2.6727
25,7,0.05,20,57,0.6545,7,0.05,100,105,2.7015
26,7,0.02,10,192,0.6709,7,0.05,100,105,2.672
27,7,0.05,10,85,0.7008,7,0.05,50,80,2.6483
28,15,0.05,100,75,0.7204,31,0.05,100,95,2.5759
29,7,0.02,100,183,0.7101,7,0.05,10,99,2.486
30,7,0.05,100,80,0.7342,7,0.02,10,201,2.5147
31,7,0.05,100,79,0.7277,7,0.02,10,201,2.5457
32,7,0.05,20,80,0.7294,7,0.05,100,75,2.4982
33,7,0.02,10,198,0.7241,15,0.05,20,49,2.5104
34,7,0.02,20,150,0.708,7,0.02,50,141,2.5465
35,7,0.05,100,50,0.6856,15,0.02,50,124,2.53
36,7,0.02,10,149,0.6867,15,0.02,50,112,2.561
37,7,0.05,10,53,0.6863,7,0.02,50,110,2.6284
38,15,0.02,10,119,0.6802,7,0.05,50,42,2.6995
39,7,0.02,10,176,0.6736,7,0.05,50,50,2.6752
40,7,0.02,10,129,0.6766,7,0.02,100,133,2.7563
41,7,0.02,10,130,0.6887,7,0.05,50,46,2.7256
42,7,0.02,50,115,0.6878,7,0.02,50,105,2.718
43,15,0.05,10,86,0.6728,15,0.05,20,43,2.6789
44,7,0.05,10,70,0.6937,31,0.05,10,42,2.6751
45,15,0.05,10,50,0.6929,7,0.02,100,168,2.6489
46,7,0.02,100,146,0.6946,7,0.05,10,65,2.6746
47,7,0.02,100,155,0.6967,15,0.05,20,50,2.6249
48,7,0.05,10,63,0.6997,15,0.05,20,41,2.5802
49,7,0.02,10,205,0.6976,31,0.05,10,41,2.5936
50,7,0.05,50,63,0.6914,15,0.05,20,42,2.5665
51,7,0.05,100,64,0.6915,15,0.05,20,42,2.5638
52,7,0.02,10,164,0.6897,15,0.05,10,56,2.5562
53,7,0.05,10,67,0.696,7,0.02,10,130,2.5646
54,7,0.05,20,72,0.7018,15,0.02,10,115,2.5797
55,31,0.05,10,60,0.6894,7,0.02,20,130,2.5467
56,7,0.02,10,197,0.6885,7,0.02,20,130,2.5295
57,15,0.05,20,83,0.6922,15,0.02,100,117,2.512
58,7,0.05,100,64,0.7062,7,0.02,10,196,2.4303
59,7,0.05,50,65,0.7188,7,0.05,100,75,2.4179
60,7,0.02,20,140,0.7171,7,0.02,100,180,2.4163
61,7,0.02,20,142,0.7283,7,0.02,100,185,2.4329
62,7,0.05,100,58,0.7389,7,0.02,20,203,2.4555
63,7,0.02,10,123,0.7459,15,0.02,20,157,2.4081
64,7,0.02,100,136,0.751,15,0.05,10,74,2.3802
65,7,0.05,10,55,0.7469,7,0.05,100,126,2.459
66,7,0.05,10,57,0.7477,7,0.05,100,126,2.4832
67,7,0.02,100,130,0.7469,7,0.05,100,91,2.4652
68,7,0.02,100,137,0.7444,31,0.05,20,66,2.4912
69,7,0.05,100,59,0.7477,15,0.02,10,206,2.5347
70,7,0.02,100,164,0.7537,7,0.02,100,201,2.5621
71,7,0.02,100,164,0.7527,7,0.02,100,201,2.5479
72,7,0.05,100,66,0.7467,15,0.02,50,161,2.5454
73,7,0.02,100,153,0.7335,31,0.05,100,64,2.5653
74,7,0.02,10,140,0.7341,15,0.05,10,44,2.5708
75,15,0.02,100,151,0.7402,31,0.02,20,118,2.5869
76,15,0.02,100,151,0.7418,31,0.02,20,128,2.5803
77,7,0.02,50,159,0.7379,15,0.05,50,50,2.5727
78,7,0.05,100,94,0.7306,15,0.02,100,162,2.537
79,7,0.02,100,170,0.7237,7,0.05,50,141,2.5466
80,7,0.05,100,115,0.7187,15,0.05,50,53,2.5788
81,7,0.05,100,115,0.7204,15,0.05,50,53,2.5623
82,7,0.05,100,72,0.7263,15,0.05,20,51,2.5371
83,7,0.02,100,199,0.725,15,0.05,100,49,2.5147
84,7,0.05,50,77,0.721,7,0.05,50,69,2.5455
85,7,0.05,100,75,0.7261,15,0.05,100,50,2.5132
86,7,0.05,100,75,0.7287,15,0.05,10,53,2.5331
87,7,0.02,100,156,0.7268,15,0.05,10,54,2.5235
88,7,0.02,50,155,0.7226,63,0.05,100,36,2.5231
89,7,0.02,100,156,0.7203,15,0.05,100,59,2.5088
90,7,0.05,100,70,0.7248,15,0.05,20,59,2.5118
91,7,0.05,100,70,0.7231,15,0.05,20,59,2.5205
92,7,0.02,100,179,0.7236,15,0.02,100,153,2.5307
93,7,0.05,100,65,0.7182,31,0.05,20,56,2.5304
94,7,0.02,100,153,0.716,31,0.05,100,47,2.5193
95,7,0.05,100,75,0.7123,31,0.02,10,129,2.5027
96,7,0.05,100,75,0.716,31,0.02,10,129,2.5223
97,7,0.05,50,54,0.7057,15,0.02,10,119,2.5543
98,7,0.05,50,59,0.711,7,0.02,10,159,2.5532
99,7,0.05,20,55,0.7131,31,0.05,10,63,2.5645
100,7,0.02,50,130,0.7126,63,0.02,100,140,2.5513
101,7,0.02,50,149,0.7216,63,0.02,50,132,2.5478
102,7,0.05,50,58,0.7196,63,0.05,50,49,2.5467
103,7,0.02,100,170,0.7174,15,0.05,20,67,2.5414
104,7,0.02,50,199,0.7135,31,0.02,10,112,2.5481
105,7,0.02,100,186,0.7213,31,0.05,50,48,2.5636
106,7,0.02,100,188,0.7225,31,0.05,50,48,2.5745
107,7,0.05,10,80,0.7189,15,0.05,10,51,2.6015
108,7,0.05,100,62,0.7121,63,0.05,100,40,2.576
109,7,0.02,100,184,0.7083,15,0.02,20,151,2.6008
110,7,0.05,50,69,0.7083,7,0.05,10,50,2.5947
111,7,0.05,50,69,0.7094,7,0.05,10,73,2.5864
112,7,0.05,100,62,0.7074,31,0.05,10,45,2.6027
113,7,0.02,50,186,0.7064,15,0.02,50,130,2.5949
114,7,0.02,100,152,0.7054,15,0.05,10,57,2.5837
115,7,0.02,100,149,0.711,7,0.05,20,63,2.6003
116,7,0.02,100,150,0.712,7,0.05,20,70,2.6228
117,7,0.02,100,160,0.7144,31,0.05,50,46,2.6213
118,7,0.05,50,48,0.7079,15,0.02,20,130,2.6238
119,7,0.05,100,58,0.7072,7,0.02,20,235,2.633
120,7,0.02,10,159,0.7085,31,0.05,20,69,2.6146
121,7,0.02,10,159,0.7097,31,0.05,20,69,2.6192
122,7,0.05,10,90,0.7152,31,0.02,20,124,2.5938
123,7,0.02,10,214,0.714,7,0.05,50,119,2.611
124,7,0.02,100,178,0.7201,15,0.02,50,194,2.6009
125,7,0.02,100,214,0.7256,15,0.02,50,158,2.595
126,7,0.02,100,213,0.7244,15,0.02,50,158,2.5898
127,7,0.05,100,55,0.7156,15,0.05,50,90,2.5718
128,15,0.05,10,54,0.7163,15,0.02,20,154,2.5899
129,7,0.02,10,146,0.7143,15,0.02,50,140,2.5823
130,7,0.05,100,72,0.7117,7,0.02,50,245,2.5735
131,7,0.02,100,145,0.7103,7,0.02,50,245,2.5734
132,7,0.05,100,75,0.7052,7,0.05,100,96,2.5539
133,7,0.05,100,60,0.7074,7,0.05,100,65,2.5534
134,7,0.02,10,173,0.7056,7,0.02,50,220,2.5537
135,7,0.02,100,160,0.7115,7,0.02,50,195,2.5783
136,7,0.02,100,160,0.7083,15,0.02,50,154,2.5792
137,7,0.02,100,173,0.71,7,0.02,50,210,2.5651
138,7,0.02,100,176,0.7063,7,0.02,100,274,2.5563
139,7,0.05,50,64,0.7058,7,0.02,100,220,2.5648
140,7,0.02,100,200,0.7104,7,0.05,50,76,2.569
141,7,0.05,10,85,0.712,7,0.05,50,76,2.5582
142,7,0.02,50,193,0.7096,7,0.02,50,201,2.5597
143,7,0.05,100,66,0.7099,7,0.05,20,70,2.5706
144,7,0.02,20,251,0.7035,7,0.02,50,182,2.554
145,15,0.02,10,193,0.698,7,0.02,100,160,2.5258
146,15,0.02,10,193,0.6963,7,0.05,100,61,2.521
147,7,0.05,50,85,0.6966,7,0.05,100,99,2.5238
148,15,0.02,100,150,0.6977,7,0.05,100,76,2.5165
149,7,0.05,100,101,0.6986,7,0.02,50,260,2.5148
150,31,0.02,20,137,0.6981,15,0.05,50,52,2.5153
151,31,0.02,20,137,0.6979,15,0.05,50,52,2.5077
152,31,0.05,50,70,0.6955,15,0.02,10,145,2.5092
153,7,0.05,100,63,0.6942,7,0.02,10,168,2.5245
154,7,0.05,50,65,0.6889,7,0.02,10,156,2.5304
155,7,0.02,10,192,0.6923,7,0.05,50,71,2.5355
156,31,0.02,10,183,0.6945,7,0.05,50,71,2.5392
157,31,0.02,20,168,0.6888,7,0.02,100,156,2.5434
158,15,0.05,10,67,0.6878,15,0.05,50,48,2.5473
159,15,0.02,20,316,0.6909,7,0.02,100,220,2.5542
160,15,0.02,10,188,0.6899,7,0.05,50,75,2.5445
161,7,0.02,10,225,0.6888,7,0.05,100,80,2.546
162,15,0.02,50,175,0.6878,7,0.02,100,162,2.5301
163,15,0.02,100,222,0.69,7,0.02,100,176,2.5322
164,15,0.02,20,165,0.6912,7,0.05,100,70,2.53
165,15,0.05,10,55,0.6909,7,0.05,100,66,2.5311
166,15,0.05,10,62,0.6954,7,0.05,100,66,2.5241
167,15,0.02,10,176,0.6944,15,0.02,100,187,2.5131
168,7,0.05,10,60,0.6956,15,0.02,100,170,2.4996
169,31,0.02,10,178,0.6987,7,0.02,100,207,2.4718
170,15,0.02,20,200,0.7036,15,0.05,50,66,2.4768
171,15,0.02,20,200,0.7065,15,0.05,50,66,2.4863
172,7,0.02,10,187,0.7073,7,0.02,100,247,2.4901
173,31,0.05,20,58,0.7075,7,0.02,100,182,2.5003
174,15,0.05,10,60,0.7068,7,0.02,50,192,2.5081
175,7,0.02,10,240,0.7074,15,0.05,20,87,2.499
176,7,0.02,10,213,0.7097,15,0.02,10,165,2.4971
177,7,0.02,20,198,0.7054,7,0.05,100,73,2.5046
178,7,0.05,10,75,0.7075,15,0.02,100,140,2.5026
179,7,0.02,20,190,0.7115,15,0.05,100,58,2.4945
180,7,0.05,10,99,0.7161,15,0.02,100,216,2.4879
181,7,0.02,20,175,0.7175,15,0.02,100,216,2.4876
182,7,0.02,20,185,0.7199,7,0.05,100,100,2.4928
183,7,0.02,20,209,0.7192,15,0.02,100,180,2.5027
184,7,0.02,10,175,0.7206,31,0.02,100,155,2.5046
185,7,0.05,50,78,0.7199,15,0.05,100,79,2.5
186,7,0.05,50,78,0.7193,15,0.05,100,79,2.4983
187,7,0.02,20,193,0.7181,15,0.02,100,182,2.4999
188,15,0.02,10,190,0.7127,63,0.02,100,160,2.5083
189,7,0.02,20,176,0.7111,15,0.02,100,205,2.5069
190,7,0.02,10,198,0.7113,31,0.05,100,80,2.4926
191,7,0.02,10,198,0.7121,31,0.05,100,78,2.4858
192,7,0.02,20,191,0.7173,31,0.05,100,73,2.4763
193,15,0.05,20,88,0.7196,63,0.02,100,141,2.4638
194,7,0.05,20,75,0.7152,31,0.02,50,191,2.4747
195,15,0.05,20,65,0.7123,15,0.02,100,364,2.463
196,15,0.05,20,65,0.7102,15,0.02,100,365,2.4602
197,7,0.02,20,176,0.7148,31,0.05,100,73,2.4688
198,7,0.05,20,75,0.7164,31,0.05,100,69,2.457
199,7,0.05,50,59,0.7162,31,0.05,100,72,2.4614
200,7,0.02,10,169,0.7169,15,0.05,100,90,2.4695
201,7,0.02,10,151,0.717,15,0.05,100,90,2.4708
202,7,0.02,20,171,0.7172,63,0.05,100,70,2.466
203,7,0.05,20,78,0.7171,15,0.05,100,121,2.4709
204,7,0.05,10,62,0.7214,31,0.02,100,205,2.4639
